Date,2020-11-25 14:00:57
Filename,STFMK-20201105-LW19-3184_20201125_140057_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-PAHU-03S, 1760,55, 105.3,
Period,3SEC
Sample Rate,4000
RMS,0.013919,
Data Length,12000,
0,-0.0053473865,
0.00025,0.0126301916,
0.0005,-0.0054085022,
0.00075,-0.0009776802,
0.001,-0.0060091359,
0.00125,0.0078009460,
0.0015,0.0003169444,
0.00175,-0.0050544250,
0.002,0.0045125522,
0.00225,0.0057994132,
0.0025,0.0069322200,
0.00275,-0.0051128236,
0.003,-0.0337308906,
0.00325,-0.0038416786,
0.0035,-0.0059483182,
0.00375,-0.0227509178,
0.004,-0.0154797696,
0.00425,-0.0085851429,
0.0045,-0.0085878633,
0.00475,-0.0132212695,
0.005,-0.0198691748,
0.00525,-0.0090859570,
0.0055,0.0010171041,
0.00575,-0.0093027167,
0.006,-0.0037100518,
0.00625,-0.0058126729,
0.0065,0.0111979702,
0.00675,-0.0027990786,
0.007,-0.0042556380,
0.00725,0.0018483900,
0.0075,-0.0080322297,
0.00775,-0.0065703406,
0.008,-0.0072326306,
0.00825,-0.0072540157,
0.0085,-0.0066637089,
0.00875,-0.0376641378,
0.009,-0.0239409674,
0.00925,-0.0183155928,
0.0095,-0.0068778414,
0.00975,-0.0257040355,
0.01,-0.0059811701,
0.01025,0.0093367193,
0.0105,-0.0025203484,
0.01075,-0.0291169900,
0.011,0.0139144454,
0.01125,0.0121343639,
0.0115,-0.0079380991,
0.01175,0.0035720437,
0.012,0.0080761742,
0.01225,0.0027170228,
0.0125,0.0018104824,
0.01275,0.0055939183,
0.013,-0.0019088062,
0.01325,0.0070597529,
0.0135,-0.0081917774,
0.01375,-0.0053699873,
0.014,-0.0137795312,
0.01425,0.0013434932,
0.0145,-0.0244960673,
0.01475,-0.0112098139,
0.015,0.0020013060,
0.01525,-0.0111675272,
0.0155,-0.0070464388,
0.01575,-0.0017792308,
0.016,0.0064632762,
0.01625,0.0068815993,
0.0165,0.0016562601,
0.01675,-0.0029909923,
0.017,-0.0077005853,
0.01725,0.0045510889,
0.0175,-0.0001831589,
0.01775,-0.0028139960,
0.018,0.0109770931,
0.01825,0.0059755975,
0.0185,-0.0187680833,
0.01875,-0.0100183357,
0.019,-0.0182053838,
0.01925,0.0006266779,
0.0195,-0.0273779966,
0.01975,-0.0187377352,
0.02,-0.0025859312,
0.02025,0.0014997660,
0.0205,-0.0196684301,
0.02075,-0.0107799508,
0.021,0.0091926977,
0.02125,0.0048107728,
0.0215,-0.0021877161,
0.02175,0.0032143982,
0.022,0.0225576665,
0.02225,-0.0002078330,
0.0225,-0.0260032341,
0.02275,-0.0255890917,
0.023,0.0095325066,
0.02325,0.0042322697,
0.0235,0.0026723957,
0.02375,-0.0103105903,
0.024,0.0150144557,
0.02425,0.0143697392,
0.0245,-0.0007977667,
0.02475,-0.0156455673,
0.025,0.0041951500,
0.02525,-0.0095751863,
0.0255,-0.0042619635,
0.02575,-0.0041983342,
0.026,-0.0044335164,
0.02625,-0.0039502457,
0.0265,-0.0091210529,
0.02675,-0.0048057139,
0.027,-0.0085910074,
0.02725,-0.0044283271,
0.0275,0.0117702428,
0.02775,0.0196758304,
0.028,0.0222496968,
0.02825,0.0130810784,
0.0285,0.0051319189,
0.02875,0.0058048861,
0.029,0.0185048245,
0.02925,-0.0062310779,
0.0295,-0.0025061136,
0.02975,-0.0002759864,
0.03,0.0092959031,
0.03025,-0.0109987101,
0.0305,-0.0106557421,
0.03075,-0.0078028059,
0.031,0.0125322659,
